Date,Open,High,Low,Close,Volume
29-Sep-10,44.44,44.63,44.26,44.44,455485
28-Sep-10,44.71,44.76,44.12,44.74,529485
27-Sep-10,44.74,44.84,44.44,44.60,332036
24-Sep-10,44.54,45.00,44.46,44.83,348455
23-Sep-10,44.32,44.54,44.09,44.35,344966
22-Sep-10,44.40,44.75,44.40,44.45,466742
21-Sep-10,44.39,44.57,44.05,44.50,745794
20-Sep-10,44.18,44.45,44.16,44.39,391980
17-Sep-10,44.44,44.62,43.99,44.16,536711
16-Sep-10,44.54,44.69,44.17,44.28,460496
15-Sep-10,44.31,44.56,44.05,44.54,573691
14-Sep-10,44.39,44.65,44.26,44.53,515673
13-Sep-10,44.80,44.80,44.35,44.44,291463
10-Sep-10,44.22,44.55,44.09,44.55,331926
9-Sep-10,44.39,44.39,43.98,44.14,302311
8-Sep-10,44.04,44.16,43.86,44.06,344256
7-Sep-10,44.04,44.41,43.82,43.82,420010
6-Sep-10,44.33,44.33,44.33,44.33,0
3-Sep-10,44.08,44.33,43.83,44.33,379527
2-Sep-10,43.71,43.99,43.41,43.99,500924
1-Sep-10,43.38,43.77,43.36,43.60,653782
31-Aug-10,42.70,43.19,42.55,43.09,892066
30-Aug-10,43.15,43.22,42.70,42.70,436902
27-Aug-10,43.22,43.33,42.83,43.12,525241
26-Aug-10,42.79,43.27,42.79,43.05,590649
25-Aug-10,43.12,43.17,42.53,42.79,892147
24-Aug-10,43.50,43.60,43.18,43.36,931389
23-Aug-10,43.75,43.91,43.67,43.70,641989
20-Aug-10,43.81,44.00,43.28,43.48,752403
19-Aug-10,43.61,43.67,43.06,43.37,710472
18-Aug-10,43.48,43.79,43.30,43.61,616354
17-Aug-10,43.24,43.72,43.00,43.44,644068
16-Aug-10,42.78,42.94,42.51,42.93,794402
13-Aug-10,42.54,43.19,42.54,42.90,480215
12-Aug-10,42.21,42.74,42.21,42.69,561276
11-Aug-10,43.00,43.15,42.42,42.76,572192
10-Aug-10,43.07,43.96,42.96,43.58,539279
9-Aug-10,42.94,43.27,42.77,43.18,330661
6-Aug-10,42.83,43.09,42.62,42.86,504879
5-Aug-10,43.14,43.14,42.66,42.99,326303
4-Aug-10,43.09,43.32,43.03,43.27,602168
3-Aug-10,43.02,43.22,42.93,43.05,305700
2-Aug-10,43.19,43.42,43.04,43.22,438312
30-Jul-10,42.38,43.04,42.28,42.92,522983
29-Jul-10,43.27,43.36,42.55,42.72,402520
28-Jul-10,43.91,43.91,43.12,43.18,476482
27-Jul-10,44.26,44.26,43.83,43.89,688163
26-Jul-10,42.64,43.99,42.64,43.95,1019833
23-Jul-10,42.40,42.79,42.36,42.76,572344
22-Jul-10,42.32,42.60,42.14,42.38,468269
21-Jul-10,41.98,42.47,41.84,41.97,616190
20-Jul-10,41.89,42.77,41.85,42.77,571164
19-Jul-10,42.12,42.36,42.07,42.17,457306
16-Jul-10,42.66,42.73,42.02,42.09,539618
15-Jul-10,42.69,42.87,42.36,42.80,341440
14-Jul-10,42.71,42.85,42.43,42.77,435873
13-Jul-10,42.25,42.77,42.14,42.71,607912
12-Jul-10,42.07,42.20,41.92,42.02,424885
9-Jul-10,42.00,42.27,41.90,42.19,474183
