objid,ra,dec,ug,gr,ri,iz,dered_g,specobjid,specClass,z
587722982815105046,182.95749183,-0.33777543,0.866179,0.194805,0.072304,0.015631,17.30109,81006756372676608,1,-6.32723E-4
587724649258352760,182.95724209,-2.66625253,1.665613,0.896437,0.43455,0.356177,17.319269,93674607462055936,2,0.110031
587724649795223632,182.95811192,-2.23329438,2.028582,0.955969,0.452741,0.340316,16.863337,93674609143971840,2,0.07832
587725552285909054,182.95978124,67.92943734,1.081098,0.465061,0.240983,0.10276,14.929954,138990319264858112,2,8.46703E-3
587725994111991976,252.04096513,43.68994996,1.489054,0.888542,0.484886,0.299812,18.245588,177271317911830528,2,0.132214
587726031176073352,182.95766159,1.28283688,0.794132,0.422974,0.300343,0.079073,18.002048,145746004371570688,2,0.12599
587726031712944336,182.95725448,1.71643119,1.602306,0.895573,0.480579,0.397033,17.60343,146028588645220352,2,0.04891
587726032786686114,182.95804559,2.67460733,1.062857,0.451105,0.284119,0.027094,17.906889,145746006976233472,2,0.074865
587727177912615038,0.04739354,-11.18984938,1.844927,1.09527,0.44969,0.33065,18.579817,183182688193085440,2,0.149964
587727177912680599,0.22739537,-11.01772929,2.001562,1.166529,0.449306,0.332067,18.760984,183182687849152512,2,0.249836
587727177912680556,0.22819701,-11.19778996,1.437569,0.7465,0.398468,0.275568,17.985435,183182687853346816,2,0.11931
587727177912680550,0.20007636,-11.20075245,0.521627,0.235067,0.340267,-0.113319,18.42911,183182687928844288,2,0.106041
587727177912680543,0.16609236,-11.1577051,1.793432,0.804744,0.368635,0.288718,16.514071,183182687857541120,2,0.045851
587727177912680538,0.15487476,-11.03544888,1.584364,0.895006,0.480539,0.310304,17.668192,183182687882706944,2,0.151024
587727177912811621,0.47515565,-11.03152126,1.059874,0.567278,0.342884,0.19142,18.197714,183182687698157568,2,0.104582
587727177912746099,0.33432413,-11.18450548,-0.241413,0.265266,0.044668,-0.031136,19.383938,183182687878512640,3,1.42159
587727177912746086,0.30441889,-11.1036283,1.075838,0.506428,0.386744,0.167495,16.974146,183182687861735424,2,0.119091
587727177912746030,0.34701217,-11.19887531,0.518827,0.170502,0.021841,-0.053297,18.369068,183182687886901248,1,1.13146E-3
587727177912877107,0.7046973,-11.12639411,0.93392,0.461884,0.244095,0.198737,16.757092,183182687526191104,2,0.029638
587727177912811646,0.51774985,-11.04481878,1.335852,0.87196,0.406429,0.337221,17.991058,183182687693963264,2,0.131457
587727177913008241,0.93847121,-11.13849462,0.120804,0.302744,0.247614,-0.082891,19.802635,183182687366807552,3,1.56857
587727177912942719,0.85792169,-11.04713683,1.912624,1.000114,0.39703,0.342462,17.626886,183182687572328448,2,0.149296
587727177912877125,0.57589063,-11.02765105,1.607365,0.850098,0.393833,0.259143,17.492767,183182687681380352,2,0.119639
587727177912811659,0.52353445,-11.21059207,1.084373,0.503529,0.289587,0.131771,17.020857,183182687706546176,2,0.056075
587727177912811649,0.51711348,-11.22727,1.392632,0.987709,0.464375,0.283537,17.759851,183182687714934784,2,0.171308
587727177913008243,0.94383585,-11.02860769,1.060804,0.456608,0.364719,0.123587,17.769205,183182687383584768,2,0.091279
587727177913008212,0.87431763,-11.07684547,1.130093,0.469444,0.300613,0.205456,18.071606,183182687521996800,2,0.0773
587727177913270351,1.57501913,-11.19648757,2.171989,1.206297,0.487663,0.337309,17.980455,183464154768605184,2,0.176541
587727177913335887,1.6563726,-11.17052755,1.202311,0.591558,0.341803,0.262234,17.58905,183464154785382400,2,0.064441
587727177913401503,1.85198107,-11.13577397,1.800482,0.964417,0.489861,0.356506,18.553694,183464154605027328,2,0.077142
587727177912942710,0.83681774,-11.10367829,1.67164,1.067661,0.467352,0.298231,18.130215,183182687547162624,2,0.171616
587727177913335878,1.64496167,-11.04558566,0.475519,0.520588,0.238092,-9.534836E-3,19.600271,183464154751827968,3,0.227934
587727177912877127,0.57732637,-11.06591469,0.357092,0.626774,0.45632,0.116671,19.640306,183182687710740480,3,0.204737
587727177913270360,1.60710738,-11.08157892,2.413408,1.199539,0.505802,0.378195,18.014767,183464154806353920,2,0.176615
587727177912811707,0.54898571,-11.12482447,1.387562,1.013483,0.465952,0.312452,18.581697,183182687723323392,2,0.197959
587727177912811683,0.43428781,-11.20611311,1.731779,1.34831,0.526405,0.299105,18.936567,183182687702351872,2,0.231462
587727177913270390,1.54515461,-11.11991485,1.274681,0.511652,0.280064,0.087004,17.827349,183464154764410880,2,0.077177
587727177913204812,1.45750339,-11.09972673,0.412359,-0.031857,0.010166,-9.742737E-3,19.028656,183464154982514688,4,2.34106
587727177913204856,1.4272001,-11.18023004,1.185812,0.393494,0.241302,0.145935,17.434902,183464154923794432,2,0.040004
587727177913204910,1.44612503,-11.1795627,1.847771,1.161221,0.443918,0.36536,18.472775,183464154932183040,2,0.207183
587727177913401448,1.81643215,-11.07074889,0.578308,1.090326,0.359438,0.127947,19.276493,183464154579861504,2,0.076587
587727177913008262,1.00269184,-11.17797755,0.931528,0.264594,0.183146,0.05196,15.940655,183182687425527808,2,0.03834
587727177913073712,1.08114205,-11.09333733,0.040182,0.117212,-0.160311,-0.183651,18.779444,183182687345836032,3,1.24141
587727177913073792,1.06505192,-11.08722773,1.112448,0.498779,0.363113,0.134672,17.723528,183182687371001856,2,0.091192
587727177913139225,1.23103254,-11.11054569,0.188976,0.328396,-0.088657,0.031099,18.734097,183464154907017216,3,1.11916
587727177913139329,1.30783138,-11.09958342,1.838345,0.834671,0.265478,0.374585,17.180731,183464154940571648,2,0.076834
587727177913335893,1.685669,-11.22135209,0.272711,-0.335686,-0.193661,0.027668,19.436926,183464154776993792,1,3.33763E-4
587727177913401429,1.78536593,-11.0644203,2.088999,0.890821,0.424776,0.329058,18.021906,183464154760216576,2,0.076809
587727177913532487,2.24123018,-11.04194516,1.364702,0.835154,0.425631,0.297703,18.296129,183464154294648832,2,0.170032
587727177913532491,2.09515854,-11.16961742,0.083162,0.102152,0.053654,-0.241663,19.463938,183464154315620352,3,1.44507
587727177913598007,2.32858136,-11.08844269,1.549644,1.199905,0.481504,0.332352,18.670519,183464154261094400,2,0.172103
587727177913335909,1.7359247,-11.13328835,1.93177,1.143448,0.524933,0.323179,18.362963,183464154772799488,2,0.171401
587727177913598088,2.33165683,-11.10739527,1.255957,0.680468,0.375585,0.237041,16.81827,183464154269483008,2,0.080087
587727177913598107,2.36204899,-11.13477427,0.079433,0.218033,0.196802,0.194622,19.012722,183464154084933632,3,0.42254
587727177913204797,1.38549619,-11.15221775,1.575394,0.754136,0.395544,0.291132,16.169384,183464154911211520,2,0.046389
587727177913598078,2.27216804,-11.24427811,1.336531,0.718355,0.384382,0.257553,18.016079,183464154244317184,2,0.108324
587727177913598126,2.28212023,-11.06731347,1.539898,1.034723,0.508369,0.346954,18.778423,183464154235928576,2,0.170818
587727177913598156,2.33684927,-11.14875289,1.196417,1.059963,0.454697,0.336582,18.478661,183464154282065920,2,0.200538
587727177913663586,2.42010288,-11.17695936,1.486956,0.909712,0.391541,0.257042,18.210701,183464154110099456,2,0.155175
587727177913663603,2.44325895,-11.05958558,1.102102,0.43128,0.3538,0.145313,17.765692,183464154131070976,2,0.050066
587727177913729160,2.64177367,-11.19831375,1.067762,0.498926,0.326115,0.151855,18.098541,183464154089127936,2,0.11029
587727177913729191,2.69623054,-11.16474959,1.731165,0.88982,0.403826,0.326062,17.067873,183464154068156416,2,0.076167
587727178449551464,0.19633891,-10.80249034,0.952181,0.276716,0.228588,0.068962,16.895794,183182687865929728,2,0.061544
587727178449617063,0.40270303,-10.60522192,1.047642,0.653101,0.351999,0.207729,17.772774,183182687924649984,2,0.133831
587727178449617069,0.41516955,-10.64003221,-0.063711,0.018343,0.37534,-0.195541,19.592958,183182687912067072,3,1.81907
587727177913663639,2.53165516,-11.206316,0.188194,-1.342773E-3,0.250664,0.313866,19.235601,183464154093322240,3,0.469037
587727177913663669,2.51626453,-11.12616018,1.234453,0.703438,0.322268,0.316532,17.792883,183464154080739328,2,0.100602
587727177913729179,2.66612517,-11.10395606,0.308321,0.375494,0.058458,-0.026159,19.5909,183464154135265280,3,1.07438
587727178449485973,0.10391244,-10.80048717,1.678537,1.091343,0.431271,0.350307,18.74803,183182688256000000,2,0.15062
587727178449813659,0.86773333,-10.60984539,1.183321,0.66279,0.430325,0.21896,18.155521,183464155037040640,2,0.120383
587727178449616902,0.26605919,-10.77508441,0.172073,0.08692,0.208654,0.184837,18.35626,183182687899484160,3,2.08099
587727178449551429,0.12502314,-10.64029199,0.939871,0.370575,0.238363,0.111832,17.175192,183182688260194304,2,0.150551
587727178449813547,0.84257936,-10.77062228,1.855669,0.80444,0.365376,0.302776,14.444719,183182687568134144,2,0.029821
587727178449682521,0.43046079,-10.74691152,-4.659653E-3,0.253525,-9.525299E-3,-0.063068,19.42206,183182687920455680,3,1.33389
587727178449747991,0.58651088,-10.71347984,0.140018,0.22401,-0.138456,5.25856E-3,18.849815,183182687727517696,3,1.01656
587727178449748084,0.57253993,-10.67804851,1.884235,0.913502,0.377411,0.339979,17.660419,183182687731712000,2,0.077627
587727178449813634,0.82734794,-10.7564036,1.624372,0.674341,0.296725,0.244822,16.8797,183182687593299968,2,0.029721
587727178449748118,0.68033818,-10.72092394,1.812597,0.903393,0.379033,0.323457,17.157288,183182687555551232,2,0.076471
587727178449551441,0.14432105,-10.65825891,1.940722,1.110014,0.470167,0.360176,18.476042,183182687903678464,2,0.149903
587727178449748132,0.71408503,-10.63810013,1.203436,0.595413,0.316231,0.183252,17.094969,183182687584911360,2,0.077572
587727178449879210,0.98854749,-10.74983623,1.101784,0.853655,0.42841,0.222893,18.301291,183464154957348864,2,0.19813
587727178449879221,1.02655295,-10.63755671,0.014055,0.126642,2.214432E-3,-0.111343,19.030968,183182687404556288,3,1.26897
587727178449879151,0.87582528,-10.7865006,1.920479,0.950924,0.385828,0.343985,18.148241,183182687379390464,2,0.101759
587727178449813514,0.73832702,-10.72513919,2.253979,0.927879,-3.931046E-3,1.065858,17.643238,183182687576522752,2,0.076704
587727178449944750,1.10231572,-10.70253882,1.622108,1.214296,0.494625,0.330137,18.900881,183464155032846336,2,0.205085
587727178449879191,0.96286532,-10.81078574,1.897852,0.874458,0.374211,0.310216,16.874605,183464154944765952,2,0.064994
587727178449944593,1.04502667,-10.75753697,0.146391,0.243866,0.175339,0.059685,17.733721,183182687417139200,3,0.239706
587727178450272408,1.92243658,-10.7064812,1.839653,0.97049,0.395878,0.315007,17.410034,183464154613415936,2,0.121943
587727178450337874,1.97848123,-10.73539962,1.689978,0.848825,0.415483,0.340296,17.050217,183464154642776064,2,0.042674
587727178450272412,1.92609786,-10.66917934,1.453121,0.879082,0.450699,0.355377,18.316866,183464154487586816,2,0.122185
587727178450141216,1.55134569,-10.71961911,9.838104E-3,-9.212494E-4,0.192513,-0.118776,18.986259,183464154810548224,3,1.73534
587727178450141263,1.49512223,-10.68472457,1.716942,0.812872,0.384245,0.307039,17.805632,183182687391973376,2,0.076278
587727178449813647,0.86469202,-10.67644939,1.403439,0.582083,0.285915,0.180923,17.146805,183182687580717056,2,0.067153
587727178450141308,1.60808214,-10.68466528,1.507771,0.775921,0.439602,0.366253,17.813705,183464154705690624,2,0.042666
587727178450272421,1.92829827,-10.81462676,1.428669,0.697353,0.395901,0.287248,17.313684,183464154584055808,2,0.076495
587727178450206736,1.71658002,-10.78828755,1.194817,0.31111,0.275753,-0.573664,17.93709,183464154797965312,2,0.030288
587727178450206846,1.74377432,-10.73784775,1.895384,0.880285,0.380671,0.330812,17.11891,183464154793771008,2,0.08405
587727178449879045,0.88386686,-10.74466121,1.692606,0.779658,0.379662,0.290499,13.883548,183182687387779072,2,0.029614
587727178450206865,1.64377428,-10.62226854,1.823141,1.129234,0.511909,0.321344,18.140341,183464154714079232,2,0.173129
587727178450272371,1.85206415,-10.77129695,1.997772,1.005377,0.404261,0.327778,17.992832,183464154630193152,2,0.106388
587727178450337867,1.96190534,-10.68078067,2.271191,1.22928,0.476059,0.385649,18.469959,183464154504364032,2,0.172611
587727178450010244,1.23117799,-10.80325756,0.985962,0.280521,0.133322,0.106661,17.088846,183182687400361984,2,0.030949
587727178450337895,2.03036681,-10.66191324,0.315401,0.084135,-0.022942,-0.052309,18.963501,183464154554695680,4,2.45853
587727178450337899,2.03656343,-10.6944775,1.575794,1.033941,0.460897,0.343122,18.495239,183464154512752640,2,0.173051
587727178986356823,1.71492E-3,-10.37380123,1.783886,1.080688,0.445553,0.322744,18.172934,183182688109199360,2,0.20414
587727178450010240,1.22292399,-10.80199259,2.014963,0.897284,0.394026,0.322962,18.107187,183464154965737472,2,0.064598
